nft_id,price_value,name,Left Flipper,Right Flipper,Background,Face,Skin,Head,Body
1,8.14E+17,Lil Pudgy #1,0,0,2,2,13,9,112
2,8.15E+17,Lil Pudgy #2,0,0,4,17,7,54,128
3,8.15E+17,Lil Pudgy #3,0,0,5,2,13,22,70
4,8.15E+17,Lil Pudgy #4,0,0,5,25,5,78,85
7,8.15E+17,Lil Pudgy #7,0,8,7,2,21,29,8
8,8.15E+17,Lil Pudgy #8,0,0,2,7,15,36,112
9,9.94E+17,Lil Pudgy #9,0,0,4,4,23,105,40
14,8.16E+17,Lil Pudgy #14,0,7,5,5,9,22,106
15,8.16E+17,Lil Pudgy #15,1,40,5,8,22,52,101
17,8.16E+17,Lil Pudgy #17,0,25,4,1,15,6,104
18,2.15E+18,Lil Pudgy #18,0,0,3,29,4,63,99
19,8.16E+17,Lil Pudgy #19,0,17,5,17,3,84,83
20,8.90E+17,Lil Pudgy #20,2,0,1,2,29,25,71
21,8.16E+17,Lil Pudgy #21,0,0,4,23,14,40,97
22,8.16E+17,Lil Pudgy #22,0,46,4,7,5,9,67
23,8.17E+17,Lil Pudgy #23,0,18,3,7,15,2,63
24,8.17E+17,Lil Pudgy #24,0,0,7,17,10,6,63
25,8.17E+17,Lil Pudgy #25,0,0,7,13,15,7,128
26,8.17E+17,Lil Pudgy #26,0,0,8,18,2,11,129
27,8.17E+17,Lil Pudgy #27,0,0,2,6,21,3,64
28,8.17E+17,Lil Pudgy #28,0,11,6,29,22,28,43
29,8.17E+17,Lil Pudgy #29,0,0,7,6,12,11,101
30,8.17E+17,Lil Pudgy #30,0,0,5,4,1,49,121
32,8.18E+17,Lil Pudgy #32,0,0,3,9,25,63,46
34,8.18E+17,Lil Pudgy #34,0,0,7,7,18,76,67
35,8.18E+17,Lil Pudgy #35,0,0,1,2,21,17,94
36,8.19E+17,Lil Pudgy #36,14,27,1,10,13,12,121
37,8.18E+17,Lil Pudgy #37,20,28,2,7,25,17,104
39,8.18E+17,Lil Pudgy #39,0,0,3,2,23,73,20
40,8.18E+17,Lil Pudgy #40,0,0,3,6,17,7,42
41,8.18E+17,Lil Pudgy #41,0,0,1,13,29,92,26
42,8.18E+17,Lil Pudgy #42,0,49,1,7,28,16,119
43,8.18E+17,Lil Pudgy #43,0,0,4,14,12,46,108
44,8.18E+17,Lil Pudgy #44,0,0,7,7,3,58,130
45,8.18E+17,Lil Pudgy #45,0,10,4,23,20,96,96
46,8.18E+17,Lil Pudgy #46,0,0,7,17,1,50,89
47,8.18E+17,Lil Pudgy #47,0,0,6,2,14,39,107
48,8.19E+17,Lil Pudgy #48,0,0,3,17,15,65,55
49,8.19E+17,Lil Pudgy #49,0,2,2,29,13,45,93
50,8.19E+17,Lil Pudgy #50,0,48,3,17,8,103,89
51,8.19E+17,Lil Pudgy #51,0,44,2,6,22,104,1
53,8.19E+17,Lil Pudgy #53,0,7,5,2,22,18,76
54,1.54E+18,Lil Pudgy #54,0,0,4,2,2,99,122
55,8.19E+17,Lil Pudgy #55,0,0,4,29,12,61,122
56,8.19E+17,Lil Pudgy #56,0,46,7,7,1,25,108
57,8.29E+17,Lil Pudgy #57,0,16,8,23,7,97,1
58,8.19E+17,Lil Pudgy #58,0,49,6,11,27,63,6
59,8.19E+17,Lil Pudgy #59,0,7,8,6,19,87,127
60,8.19E+17,Lil Pudgy #60,0,0,1,17,19,9,118
61,8.31E+17,Lil Pudgy #61,0,0,7,28,14,57,18
62,8.19E+17,Lil Pudgy #62,0,0,3,7,14,70,34
63,8.19E+17,Lil Pudgy #63,0,16,6,2,15,87,20
64,8.19E+17,Lil Pudgy #64,0,0,4,6,7,22,94
65,8.19E+17,Lil Pudgy #65,0,0,4,29,3,34,25
66,8.19E+17,Lil Pudgy #66,0,12,4,6,13,33,28
67,8.19E+17,Lil Pudgy #67,0,0,7,17,13,10,45
68,8.19E+17,Lil Pudgy #68,0,0,6,6,20,21,15
70,8.19E+17,Lil Pudgy #70,0,28,2,29,15,54,40
73,8.19E+17,Lil Pudgy #73,7,0,5,2,21,37,24
74,8.25E+17,Lil Pudgy #74,0,20,2,6,20,59,112
75,8.19E+17,Lil Pudgy #75,0,50,4,17,22,65,63
76,8.72E+17,Lil Pudgy #76,0,7,5,7,20,98,39
77,8.19E+17,Lil Pudgy #77,0,25,2,17,21,75,7
78,8.98E+17,Lil Pudgy #78,16,0,4,20,10,37,63
79,8.19E+17,Lil Pudgy #79,0,0,5,18,20,45,77
80,8.19E+17,Lil Pudgy #80,0,0,2,2,23,87,122
81,8.19E+17,Lil Pudgy #81,6,44,1,17,3,0,43
82,8.19E+17,Lil Pudgy #82,0,22,6,17,20,74,129
83,8.19E+17,Lil Pudgy #83,0,42,7,17,27,71,99
84,8.19E+17,Lil Pudgy #84,0,42,5,7,15,82,130
85,8.19E+17,Lil Pudgy #85,2,0,3,17,5,70,122
86,8.19E+17,Lil Pudgy #86,0,23,7,18,2,63,2
